item_sk,item_id,a1,a2,a3,cate,brand
153,101006,3,1,2,8,489
154,101010,3,1,1,8,214
155,101017,2,2,2,8,623
156,101027,3,2,1,8,489
157,101040,3,1,2,8,489
158,101048,1,1,-1,8,403
159,101062,-1,2,-1,8,562
160,101063,1,1,1,8,545
161,101068,2,1,2,8,635
162,101083,1,2,2,8,885
163,101085,3,1,-1,8,489
164,101116,3,1,1,8,214
165,101120,1,1,2,8,427
166,101126,1,2,2,8,403
167,101128,3,1,2,8,489
168,101129,2,1,2,8,124
169,101133,1,1,1,8,403
170,101134,2,1,2,8,124
171,101138,3,2,2,8,489
172,10114,1,1,2,8,545
173,101144,3,1,1,8,214
174,101148,3,1,2,8,214
175,101156,3,2,2,8,214
176,101170,-1,2,1,8,673
177,101177,3,2,2,8,214
178,101181,1,1,1,8,800
179,101182,3,-1,-1,8,489
180,101185,3,2,2,8,214
181,101196,2,1,2,8,124
182,1012,2,1,1,8,812
183,101206,3,1,-1,8,489
184,101220,3,1,2,8,571
185,101229,3,1,1,8,214
186,101234,1,1,2,8,545
187,101249,3,1,1,8,214
188,10125,3,2,2,8,489
189,101259,2,1,2,8,623
190,10126,1,1,1,8,658
191,101261,3,2,2,8,489
192,101263,3,1,1,8,489
193,101269,3,1,2,8,214
194,101270,2,1,2,8,623
195,101284,3,2,-1,8,214
196,101290,3,-1,2,8,214
197,101292,-1,2,1,8,790
198,101293,3,1,1,8,214
199,101296,1,2,-1,8,885
200,101299,3,2,1,8,489
201,10130,2,1,2,8,812
202,101315,3,2,2,8,489
203,101318,1,1,1,8,545
204,101321,-1,1,2,8,556
205,101323,1,1,1,8,800
206,101325,-1,1,-1,8,200
207,10133,3,1,1,8,214
208,101344,3,2,2,8,489
209,101352,1,1,1,8,885
210,101367,2,1,1,8,812
211,101371,3,2,1,8,489
212,101375,2,1,2,8,812
213,101378,2,2,2,8,623
214,101384,3,1,2,8,214
215,101386,2,1,2,8,124
216,101397,3,1,1,8,489
217,101413,1,1,2,8,693
218,101417,1,2,1,8,693
219,101424,3,1,1,8,214
220,101429,3,1,2,8,214
221,101432,3,1,2,8,214
222,101443,3,1,2,8,214
223,101447,-1,-1,-1,8,91
224,101464,2,1,1,8,812
225,101479,3,2,2,8,214
226,101485,3,2,2,8,214
227,101486,3,2,2,8,214
228,101511,3,-1,-1,8,214
229,101513,3,1,2,8,214
230,101519,2,1,1,8,355
231,101520,3,-1,2,8,489
232,101521,3,1,-1,8,489
233,10153,2,-1,1,8,124
234,101531,2,2,1,8,124
235,101537,3,1,2,8,214
236,101539,2,2,2,8,812
237,10154,3,1,2,8,214
238,101545,1,2,2,8,800
239,101546,2,1,1,8,812
240,101548,2,2,-1,8,124
241,10155,1,1,2,8,545
242,101566,2,1,-1,8,812
243,101569,3,2,2,8,306
244,10157,2,-1,-1,8,623
245,101572,2,2,2,8,812
246,101576,3,1,2,8,489
247,101581,3,1,2,8,489
248,101583,3,1,-1,8,489
249,101598,-1,1,2,8,562
250,101599,3,-1,2,8,489
251,101600,3,1,2,8,489
252,101604,-1,1,1,8,801
253,101608,1,1,2,8,800
254,101612,3,1,2,8,214
255,101618,3,2,2,8,214
256,101622,3,1,2,8,489
257,101624,1,1,2,8,800
258,101638,1,2,2,8,30
259,101642,1,1,1,8,545
260,101648,2,1,2,8,812
261,101656,2,1,1,8,124
262,101658,3,-1,2,8,489
263,101664,1,1,2,8,693
264,101666,3,2,1,8,214
265,101670,3,2,-1,8,214
266,101672,-1,-1,1,8,605
267,101675,2,2,2,8,623
268,101679,1,-1,1,8,375
269,101682,1,-1,-1,8,693
270,101686,3,2,1,8,489
271,101689,1,1,2,8,800
272,10171,2,1,2,8,812
273,101713,1,1,2,8,885
274,101714,2,1,1,8,124
275,101728,1,2,2,8,885
276,101729,3,-1,1,8,214
277,101730,-1,-1,1,8,766
278,101731,2,2,-1,8,812
279,101737,2,1,2,8,124
280,101744,3,1,1,8,214
281,101750,2,1,2,8,124
282,101757,1,2,1,8,800
283,101763,1,1,2,8,885
284,101779,2,2,2,8,124
285,10178,1,2,1,8,800
286,10179,2,2,1,8,812
287,101802,3,2,2,8,214
288,101803,3,2,2,8,571
289,101810,3,1,1,8,489
290,101813,3,2,2,8,489
291,101814,2,1,1,8,124
292,101817,3,2,-1,8,489
293,101820,3,1,-1,8,489
294,101858,2,1,1,8,124
295,101868,2,1,2,8,812
296,101871,3,2,2,8,489
297,101875,2,1,2,8,812
298,101880,1,2,1,8,403
299,101896,2,1,2,8,655
300,101903,3,1,-1,8,214
301,101911,1,-1,1,8,800
302,101926,3,1,-1,8,214
303,101931,3,1,1,8,214
304,101932,3,2,2,8,214
305,101937,3,1,2,8,489
306,101940,2,1,2,8,812
307,101953,2,1,2,8,623
308,101957,-1,1,-1,8,244
309,10198,3,1,2,8,489
310,101984,3,-1,2,8,489
311,10199,3,2,1,8,214
312,101999,3,2,2,8,214
313,1020,3,2,1,8,214
314,102000,3,2,2,8,214
315,102002,3,2,1,8,214
316,102006,3,-1,1,8,489
317,102021,2,1,-1,8,623
318,102027,1,1,2,8,885
319,102039,3,2,1,8,571
320,102042,3,2,2,8,214
321,102053,1,2,-1,8,693
322,102054,3,1,1,8,214
323,102080,2,-1,-1,8,812
324,102090,3,1,2,8,214
325,102096,3,1,1,8,214
326,102098,3,2,2,8,214
327,102100,3,1,1,8,489
328,102102,3,1,2,8,489
329,102103,1,1,-1,8,30
330,102110,2,1,2,8,812
331,102111,3,2,2,8,489
332,102113,-1,1,1,8,916
333,102125,-1,2,1,8,70
334,102129,1,1,2,8,885
335,102130,3,2,1,8,489
336,102134,3,2,1,8,489
337,10214,1,2,1,8,545
338,102142,3,1,1,8,489
339,102158,3,1,2,8,489
340,102162,3,2,1,8,489
341,102171,3,-1,1,8,489
342,102172,1,-1,-1,8,693
343,102174,1,1,1,8,403
344,10218,2,1,1,8,635
345,102180,3,1,2,8,489
346,102186,3,-1,-1,8,214
347,102188,3,1,2,8,489
348,102204,2,1,2,8,812
349,102210,-1,1,2,8,556
350,102223,3,1,2,8,571
351,102225,1,1,2,8,800
352,10223,3,1,1,8,214
353,102230,3,1,2,8,214
354,102231,3,2,2,8,214
355,10224,3,2,2,8,214
356,102245,3,1,1,8,489
357,102247,3,1,2,8,214
358,102255,3,1,2,8,214
359,102258,2,1,1,8,635
360,102267,3,1,2,8,214
361,102271,3,2,1,8,489
362,102274,3,-1,2,8,489
363,102275,3,1,2,8,214
364,102280,3,1,2,8,489
365,102290,3,2,2,8,489
366,102291,3,2,1,8,489
367,102293,3,2,2,8,214
368,102300,3,2,1,8,214
369,102306,3,1,2,8,214
370,102309,3,1,2,8,214
371,102310,3,2,-1,8,306
372,102312,3,1,1,8,489
373,102320,2,1,2,8,655
374,102328,1,2,2,8,403
375,102342,3,1,1,8,489
376,102344,3,1,-1,8,489
377,102350,3,-1,1,8,214
378,102351,3,2,2,8,306
379,102377,3,1,2,8,214
380,102388,3,-1,2,8,214
381,10239,3,2,2,8,489
382,102403,3,2,2,8,214
383,102406,3,1,2,8,489
384,102414,3,1,2,8,489
385,102420,3,1,2,8,306
386,102428,3,1,2,8,489
387,102430,1,2,2,8,800
388,102456,3,1,-1,8,214
389,102459,3,1,2,8,489
390,10246,3,1,1,8,214
391,102460,1,1,2,8,30
392,102462,3,1,-1,8,489
393,10247,1,2,2,8,885
394,102474,3,-1,1,8,214
395,102482,3,1,-1,8,489
396,102484,1,1,2,8,545
397,102485,3,2,2,8,489
398,102498,3,2,1,8,214
399,102499,3,1,2,8,214
400,102506,3,-1,1,8,214
401,102519,3,1,1,8,214
402,102522,3,-1,-1,8,214
403,102526,3,1,2,8,214
404,102527,3,1,2,8,214
405,10253,3,-1,-1,8,214
406,102540,2,-1,-1,8,812
407,102542,3,1,1,8,214
408,102545,1,1,1,8,403
409,102569,1,1,2,8,800
410,102576,1,2,1,8,403
411,102577,3,1,1,8,306
412,102585,1,2,2,8,885
413,102605,3,2,1,8,214
414,102615,3,1,1,8,214
415,10263,2,1,2,8,804
416,102638,3,2,1,8,489
417,10264,1,1,2,8,885
418,102644,3,2,1,8,306
419,102646,3,1,2,8,489
420,102649,3,1,1,8,489
421,102651,3,-1,-1,8,489
422,102653,3,-1,1,8,489
423,102655,3,1,2,8,214
424,102658,3,2,2,8,489
425,102659,3,1,-1,8,214
426,102662,1,2,2,8,403
427,102666,3,-1,1,8,489
428,102675,2,2,2,8,623
429,102701,3,1,2,8,214
430,102708,3,2,1,8,214
431,102709,-1,1,2,8,561
432,10271,-1,2,1,8,766
433,102713,3,1,-1,8,214
434,102720,3,2,1,8,489
435,102728,2,1,2,8,124
436,102734,2,1,2,8,124
437,102737,2,1,2,8,812
438,102752,2,1,-1,8,812
439,102754,3,1,2,8,214
440,102774,3,2,1,8,214
441,102775,1,1,2,8,658
442,102779,3,1,-1,8,489
443,102791,2,1,2,8,812
444,102807,3,2,2,8,489
445,10281,-1,1,1,8,766
446,102811,3,1,1,8,214
447,102813,3,1,2,8,214
448,102815,2,-1,-1,8,623
449,102819,3,1,2,8,214
450,10282,3,1,1,8,489
451,102829,2,1,2,8,124
452,102838,3,2,2,8,489
453,10285,3,1,2,8,214
454,102854,2,1,2,8,623
455,102858,2,2,2,8,124
456,10288,3,1,-1,8,214
457,10290,2,2,2,8,623
458,102920,3,2,2,8,214
459,102922,3,-1,1,8,489
460,10294,1,1,2,8,800
461,102943,3,1,2,8,214
462,102954,1,1,1,8,800
463,102961,3,-1,2,8,489
464,10297,3,2,2,8,489
465,102979,3,1,2,8,489
466,102983,3,2,1,8,489
467,102988,3,1,2,8,489
468,102990,3,2,-1,8,214
469,102991,3,1,-1,8,489
470,102993,3,1,1,8,306
471,103000,3,2,2,8,214
472,103004,-1,-1,1,8,622
473,103014,1,2,1,8,800
474,103031,-1,1,-1,8,562
475,103032,3,2,2,8,571
476,103033,-1,1,1,8,801
477,103035,3,-1,2,8,214
478,103038,2,1,2,8,812
479,103041,3,1,1,8,489
480,103043,3,2,1,8,214
481,103047,3,2,2,8,214
482,10305,3,1,2,8,489
483,103050,1,2,2,8,658
484,103054,2,1,2,8,623
485,103059,1,2,2,8,658
486,103064,3,1,2,8,489
487,103070,3,-1,1,8,489
488,103074,3,1,1,8,214
489,103081,3,1,-1,8,489
490,103097,3,1,2,8,489
491,10312,3,1,2,8,489
492,103121,3,2,2,8,214
493,103127,3,-1,2,8,489
494,103132,1,2,2,8,545
495,103139,3,1,2,8,214
496,10314,-1,-1,2,8,263
497,103140,3,1,1,8,214
498,103145,3,1,2,8,489
499,103147,3,1,1,8,214
500,103151,2,1,2,8,623
501,10316,3,2,2,8,214
502,103165,3,1,2,8,214
503,103167,2,2,2,8,623
504,103168,3,2,2,8,489
505,103170,3,1,1,8,489
506,103175,3,-1,2,8,489
507,103197,1,1,1,8,658
508,10321,3,1,2,8,214
509,103213,3,1,-1,8,214
510,103215,3,1,1,8,214
511,103217,3,2,1,8,489
512,10322,3,1,1,8,214
513,103224,-1,1,1,8,562
514,103226,3,2,1,8,214
515,103234,3,1,2,8,214
516,103235,3,1,1,8,489
517,103239,3,1,2,8,489
518,103247,3,1,1,8,214
519,10325,1,1,2,8,885
520,103257,3,2,2,8,214
521,10326,-1,1,1,8,916
522,103272,-1,2,1,8,900
523,103277,1,2,1,8,693
524,103278,3,1,-1,8,489
525,103280,-1,-1,1,8,70
526,103283,3,1,2,8,214
527,103290,3,1,2,8,489
528,103291,3,1,2,8,489
529,103293,3,1,2,8,489
530,103313,3,-1,2,8,214
531,103351,-1,2,1,8,622
532,103355,1,1,2,8,885
533,10337,3,2,2,8,489
534,103375,3,2,-1,8,489
535,103378,3,1,1,8,489
536,10338,2,1,2,8,623
537,103381,3,1,2,8,306
538,103386,3,1,1,8,214
539,10339,-1,1,1,8,321
540,103404,3,1,2,8,214
541,103419,1,2,2,8,545
542,10343,1,1,-1,8,545
543,103433,2,1,2,8,124
544,103436,2,1,2,8,623
545,103440,3,2,2,8,214
546,103459,1,1,2,8,800
547,10347,3,1,2,8,489
548,103477,2,1,2,8,804
549,103481,3,2,1,8,489
550,103482,3,1,2,8,214
551,103491,3,-1,1,8,214
552,103493,-1,1,2,8,159
553,103518,3,1,1,8,489
554,103537,3,2,1,8,489
555,103548,3,-1,-1,8,214
556,103554,3,1,2,8,489
557,103556,1,1,-1,8,403
558,103567,3,-1,-1,8,489
559,103568,1,1,2,8,30
560,103572,2,-1,-1,8,623
561,103577,3,1,-1,8,214
562,103578,3,1,-1,8,306
563,103579,2,2,-1,8,124
564,103588,1,1,1,8,677
565,103589,2,1,2,8,655
566,103612,3,2,2,8,489
567,103621,3,1,1,8,214
568,103622,1,1,-1,8,545
569,10363,3,1,1,8,489
570,103630,3,1,2,8,214
571,103634,3,1,2,8,489
572,103636,-1,-1,-1,8,916
573,103642,3,1,1,8,571
574,103652,1,-1,2,8,658
575,103655,3,2,2,8,489
576,103671,3,2,2,8,306
577,103679,3,1,1,8,489
578,103680,1,1,-1,8,885
579,103683,3,-1,-1,8,214
580,10369,2,-1,-1,8,623
581,103693,1,1,2,8,403
582,103694,3,1,2,8,489
583,103696,3,1,2,8,489
584,103698,3,2,2,8,489
585,103701,2,-1,-1,8,623
586,103710,1,1,1,8,693
587,103715,3,2,1,8,489
588,103720,1,1,1,8,30
589,103758,1,2,2,8,800
590,10376,3,-1,-1,8,214
591,103760,2,2,2,8,623
592,103781,2,2,2,8,635
593,103788,3,1,2,8,214
594,1038,3,2,-1,8,214
595,103801,3,1,1,8,489
596,10381,3,1,-1,8,489
597,103819,3,1,2,8,489
598,103820,1,-1,1,8,800
599,103823,3,-1,1,8,489
600,103832,-1,1,-1,8,244
601,103833,-1,1,2,8,766
602,103835,3,-1,2,8,489
603,103842,2,-1,1,8,124
604,103843,3,-1,2,8,489
605,103846,3,1,2,8,214
606,103847,3,2,2,8,214
607,103851,3,1,2,8,489
608,103872,1,1,2,8,693
609,103873,3,1,2,8,489
610,103881,1,1,1,8,596
611,103887,3,1,1,8,214
612,103890,3,2,2,8,214
613,103920,3,-1,1,8,489
614,103926,3,-1,2,8,489
615,103939,3,1,-1,8,214
616,103942,-1,-1,-1,8,605
617,103945,3,1,2,8,489
618,10395,3,1,1,8,489
619,103952,3,1,2,8,489
620,103955,-1,2,1,8,916
621,10396,3,1,1,8,489
622,103960,2,1,2,8,623
623,103963,3,1,2,8,214
624,103988,2,-1,-1,8,124
625,103990,1,1,1,8,30
626,103998,3,1,2,8,489
627,104000,2,-1,-1,8,812
628,104001,1,2,1,8,403
629,104002,3,1,1,8,214
630,104009,3,1,2,8,489
631,104010,3,1,2,8,489
632,104012,2,1,2,8,655
633,104031,3,2,1,8,489
634,104032,1,1,1,8,885
635,104048,2,2,1,8,124
636,104049,1,2,2,8,403
637,104051,1,1,-1,8,545
638,104063,2,2,2,8,804
639,104069,3,1,2,8,571
640,104092,2,2,2,8,623
641,104097,3,1,1,8,214
642,10410,3,2,1,8,489
643,104101,1,1,2,8,403
644,104103,2,-1,-1,8,124
645,104104,1,1,2,8,403
646,104106,3,-1,-1,8,214
647,104110,1,1,1,8,545
648,104119,3,1,2,8,489
649,104127,3,1,2,8,489
650,104128,3,2,-1,8,214
651,104138,3,1,2,8,489
652,104143,3,-1,-1,8,489
653,104147,1,2,1,8,545
654,104160,2,1,2,8,812
655,104186,3,2,2,8,489
656,104189,3,1,2,8,489
657,104192,-1,2,1,8,484
658,104201,-1,-1,-1,8,321
659,104203,2,1,2,8,812
660,104224,1,1,2,8,545
661,104227,2,1,2,8,812
662,104229,3,1,2,8,489
663,10423,1,1,1,8,658
664,104239,3,1,2,8,489
665,104240,1,1,2,8,658
666,104267,3,1,2,8,214
667,104271,3,1,1,8,214
668,104272,1,2,2,8,545
669,104275,3,1,1,8,214
670,104280,3,-1,2,8,489
671,104287,3,1,2,8,214
672,104307,1,-1,1,8,658
673,104308,2,2,-1,8,812
674,104310,3,1,2,8,306
675,104311,3,-1,1,8,489
676,104315,3,1,2,8,306
677,10433,2,1,2,8,101
678,104336,2,1,1,8,812
679,104356,3,2,2,8,489
680,104363,-1,2,1,8,88
681,10437,-1,2,1,8,605
682,104378,1,1,2,8,658
683,104380,3,2,2,8,571
684,104387,3,2,-1,8,214
685,104394,3,2,2,8,489
686,104397,1,2,2,8,658
687,10440,1,-1,2,8,545
688,104400,2,2,2,8,101
689,10441,1,2,1,8,800
690,104413,3,1,1,8,306
691,104414,1,-1,-1,8,403
692,104415,1,2,1,8,545
693,104416,2,1,2,8,812
694,104429,3,2,2,8,214
695,10444,3,-1,2,8,489
696,104441,3,1,1,8,214
697,104444,1,1,2,8,545
698,104449,1,1,2,8,800
699,104450,2,1,1,8,124
700,104451,3,2,2,8,489
701,104468,1,2,2,8,800
702,104474,1,-1,1,8,800
703,104477,3,-1,-1,8,489
704,104490,3,1,2,8,489
705,104493,1,2,1,8,545
706,104501,3,1,1,8,214
707,104506,3,-1,2,8,214
708,104511,3,2,-1,8,489
709,104515,3,2,1,8,489
710,104518,1,1,1,8,403
711,104521,2,1,2,8,623
712,104522,1,-1,-1,8,545
713,104523,-1,1,2,8,766
714,104537,1,1,2,8,545
715,104538,3,2,1,8,489
716,104550,1,-1,1,8,800
717,104552,3,2,2,8,489
718,10456,3,1,-1,8,489
719,104560,2,1,2,8,623
720,104563,2,2,2,8,623
721,104569,3,1,2,8,306
722,104573,1,1,-1,8,800
723,104592,1,1,2,8,800
724,104605,1,1,2,8,545
725,104606,1,1,2,8,800
726,104611,3,1,2,8,489
727,104616,1,1,1,8,693
728,104623,1,2,1,8,14
729,10463,3,2,2,8,489
730,104630,3,1,2,8,214
731,104642,3,1,-1,8,214
732,10465,3,2,-1,8,489
733,104666,2,1,2,8,124
734,10467,2,-1,-1,8,623
735,104672,2,-1,-1,8,623
736,104674,2,1,2,8,124
737,10470,3,-1,1,8,214
738,104716,3,1,2,8,214
739,104719,3,2,2,8,489
740,104730,1,1,1,8,693
741,104733,2,2,2,8,623
742,104738,1,-1,-1,8,30
743,104739,1,-1,2,8,885
744,104748,1,2,1,8,545
745,104763,2,1,2,8,124
746,104770,3,2,2,8,214
747,104772,2,1,2,8,124
748,104782,3,2,1,8,214
749,104788,1,2,1,8,885
750,104790,3,2,1,8,214
751,104808,2,1,2,8,655
752,104813,1,1,1,8,545
753,104814,3,1,2,8,214
754,104833,3,2,2,8,214
755,104834,3,-1,2,8,489
756,104850,2,1,2,8,76
757,104852,3,1,1,8,489
758,104858,1,2,1,8,800
759,104864,3,1,2,8,489
760,104866,3,-1,-1,8,214
761,104877,3,1,1,8,489
762,104879,3,1,-1,8,489
763,10488,3,1,1,8,214
764,104893,3,1,-1,8,214
765,104903,3,1,2,8,489
766,104915,-1,-1,1,8,70
767,104921,1,2,2,8,885
768,104941,1,1,2,8,30
769,104945,3,1,2,8,214
770,104955,3,-1,2,8,214
771,104957,2,1,2,8,804
772,104958,1,1,1,8,30
773,104964,3,1,-1,8,214
774,104969,3,2,2,8,214
775,104998,2,1,2,8,812
776,1050,3,1,1,8,306
777,10500,3,1,-1,8,489
778,105000,3,1,2,8,214
779,105004,3,1,-1,8,214
780,105009,3,-1,1,8,489
781,10501,3,1,2,8,489
782,105023,3,2,2,8,214
783,10504,3,1,2,8,214
784,105048,-1,1,2,8,562
785,105052,2,1,2,8,812
786,105054,-1,2,-1,8,244
787,10506,1,1,1,8,30
788,105064,3,1,2,8,214
789,105072,3,1,2,8,489
790,105075,3,2,1,8,214
791,105080,3,1,2,8,489
792,105083,2,-1,-1,8,623
793,105087,-1,-1,-1,8,665
794,10509,1,1,1,8,693
795,105090,1,1,2,8,885
796,105093,3,1,2,8,214
797,105094,1,2,1,8,14
798,105095,-1,2,-1,8,244
799,1051,3,1,2,8,214
800,105100,3,1,2,8,214
801,105101,-1,1,1,8,766
802,105109,1,-1,-1,8,800
803,105119,2,-1,-1,8,623
804,10512,3,2,2,8,489
805,105123,3,1,1,8,214
806,105129,1,1,2,8,885
807,105144,3,1,2,8,489
808,105149,3,2,2,8,489
809,105152,2,1,2,8,635
810,105154,3,-1,1,8,214
811,105163,1,1,1,8,30
812,105166,3,1,2,8,214
813,105167,1,2,2,8,545
814,105175,3,1,2,8,489
815,105178,1,-1,1,8,403
816,105193,3,-1,2,8,214
817,105196,3,2,1,8,214
818,105202,1,1,2,8,545
819,105209,3,2,-1,8,214
820,105211,3,1,2,8,489
821,105219,3,-1,1,8,214
822,105222,3,2,2,8,214
823,105225,3,2,2,8,489
824,105244,3,2,2,8,214
825,105248,2,1,1,8,812
826,105252,3,2,1,8,214
827,105254,3,2,2,8,489
828,10526,3,1,1,8,489
829,105271,2,1,2,8,623
830,105275,3,-1,2,8,489
831,105279,3,1,2,8,214
832,105286,2,1,1,8,674
833,105296,3,2,-1,8,214
834,105301,3,-1,-1,8,306
835,105313,1,1,1,8,545
836,105314,3,1,1,8,214
837,105318,-1,-1,1,8,801
838,10532,3,-1,-1,8,214
839,105336,2,2,-1,8,812
840,105338,1,1,2,8,427
841,105340,3,2,2,8,214
842,105344,3,2,2,8,214
843,105347,3,1,1,8,489
844,105355,3,1,1,8,489
845,105358,1,2,2,8,30
846,105368,1,1,-1,8,885
847,105380,2,1,2,8,812
848,105386,3,2,1,8,214
849,105387,1,1,1,8,30
850,105388,-1,-1,-1,8,116
851,105394,3,1,-1,8,214
852,105396,-1,-1,2,8,200
853,105397,3,1,2,8,489
854,105398,3,1,1,8,306
855,10542,3,1,2,8,489
856,105421,-1,1,2,8,174
857,105423,3,2,1,8,489
858,105424,3,2,1,8,489
859,105443,1,1,-1,8,658
860,105447,2,1,2,8,623
861,105450,3,1,1,8,489
862,105452,1,-1,-1,8,658
863,105455,-1,2,1,8,673
864,105467,3,-1,1,8,489
865,105471,3,1,1,8,489
866,105529,1,1,1,8,658
867,105536,3,1,2,8,489
868,105539,3,1,2,8,214
869,105545,1,-1,2,8,403
870,105550,2,1,-1,8,124
871,105556,1,2,1,8,545
872,105557,2,1,2,8,124
873,105558,1,2,-1,8,403
874,105559,3,1,2,8,214
875,10556,-1,1,1,8,25
876,105580,3,2,1,8,489
877,105586,3,1,2,8,571
878,105587,2,2,2,8,623
879,105601,3,2,2,8,214
880,105605,2,1,2,8,812
881,105609,3,1,2,8,489
882,105614,3,2,2,8,489
883,105617,3,1,2,8,489
884,105620,1,-1,2,8,677
885,105625,3,1,1,8,306
886,105629,3,-1,-1,8,214
887,105635,3,1,1,8,489
888,105658,1,-1,1,8,658
889,105663,3,-1,2,8,306
890,105667,2,1,2,8,623
891,105671,3,-1,-1,8,489
892,105677,3,1,-1,8,489
893,105678,3,1,1,8,489
894,105688,3,-1,-1,8,306
895,10569,3,1,1,8,214
896,105697,3,1,2,8,214
897,105702,1,1,2,8,800
898,105711,3,1,-1,8,214
899,10572,1,2,-1,8,545
900,105728,3,1,2,8,489
901,105730,3,1,2,8,489
902,105739,-1,-1,1,8,766
903,105744,3,2,1,8,489
904,105753,2,-1,-1,8,623
905,105756,1,2,2,8,545
906,105761,3,1,1,8,306
907,105762,1,2,1,8,14
