user_sk,user_id,user_lv_cd,gender,age
123,200123,1,0,59
124,200124,2,0,64
125,200125,3,0,46
126,200126,2,0,58
127,200127,3,1,20
128,200128,3,1,69
129,200129,2,0,55
130,200130,5,0,58
131,200131,3,0,16
132,200132,5,0,27
133,200133,1,1,24
134,200134,3,1,24
135,200135,2,0,17
136,200136,2,1,64
137,200137,2,0,69
138,200138,3,1,43
139,200139,3,0,21
140,200140,1,1,28
141,200141,4,0,67
142,200142,2,0,40
143,200143,5,1,23
144,200144,4,0,57
145,200145,3,1,17
146,200146,3,1,24
147,200147,5,0,23
148,200148,2,1,19
149,200149,1,0,21
150,200150,5,1,37
151,200151,3,0,47
152,200152,2,0,70
153,200153,4,0,19
154,200154,3,1,61
155,200155,3,0,48
156,200156,5,1,66
157,200157,3,0,27
158,200158,2,0,56
159,200159,2,1,18
160,200160,5,1,42
161,200161,2,1,60
162,200162,2,1,46
163,200163,1,1,63
164,200164,3,1,57
165,200165,3,1,48
166,200166,2,1,23
167,200167,1,0,20
168,200168,1,1,75
169,200169,2,1,20
170,200170,2,0,27
171,200171,2,1,75
172,200172,4,0,30
173,200173,4,1,57
174,200174,3,0,43
175,200175,4,1,23
176,200176,2,1,31
177,200177,4,1,55
178,200178,3,1,58
179,200179,4,0,36
180,200180,5,0,73
181,200181,5,0,65
182,200182,2,1,33
183,200183,3,1,22
184,200184,1,1,37
185,200185,2,0,47
186,200186,4,0,69
187,200187,3,1,42
188,200188,2,1,29
189,200189,2,1,34
190,200190,3,0,52
191,200191,4,0,26
192,200192,1,0,55
193,200193,4,0,17
194,200194,3,1,59
195,200195,3,1,40
196,200196,5,1,45
197,200197,3,0,34
198,200198,1,1,45
199,200199,2,0,18
200,200200,2,1,60
201,200201,2,1,23
202,200202,3,0,56
203,200203,1,1,37
204,200204,2,0,64
205,200205,2,0,24
206,200206,2,0,26
207,200207,4,0,25
208,200208,4,1,28
209,200209,2,1,56
210,200210,2,0,39
211,200211,2,0,26
212,200212,1,0,19
213,200213,5,1,66
214,200214,3,0,53
215,200215,5,0,25
216,200216,1,1,40
217,200217,3,0,25
218,200218,2,1,19
219,200219,4,1,65
220,200220,4,1,72
221,200221,2,1,23
222,200222,4,0,30
223,200223,4,0,53
224,200224,5,1,49
225,200225,4,1,18
226,200226,5,0,45
227,200227,2,1,72
228,200228,4,0,34
229,200229,5,1,24
230,200230,4,1,23
231,200231,2,0,50
232,200232,4,0,18
233,200233,3,0,43
234,200234,3,1,31
235,200235,5,0,37
236,200236,1,1,38
237,200237,4,0,64
238,200238,4,1,19
239,200239,5,1,24
240,200240,4,1,61
241,200241,1,1,70
242,200242,5,0,37
243,200243,2,0,24
244,200244,2,0,49
245,200245,2,1,17
246,200246,3,1,61
247,200247,2,1,36
248,200248,5,0,60
249,200249,1,1,68
250,200250,1,0,41
251,200251,3,0,66
252,200252,5,0,36
253,200253,4,0,38
254,200254,5,1,30
255,200255,4,0,42
256,200256,3,1,36
257,200257,4,0,52
258,200258,4,1,39
259,200259,1,1,51
260,200260,5,1,65
261,200261,3,1,41
262,200262,2,0,54
263,200263,5,1,36
264,200264,2,1,68
265,200265,3,0,16
266,200266,5,1,34
267,200267,3,0,59
268,200268,4,1,68
269,200269,4,1,16
270,200270,3,1,59
271,200271,3,0,56
272,200272,5,1,60
273,200273,3,1,70
274,200274,2,0,24
275,200275,4,0,36
276,200276,2,0,50
277,200277,3,1,54
278,200278,3,1,28
279,200279,3,1,29
280,200280,5,0,48
281,200281,2,1,47
282,200282,2,1,23
283,200283,4,0,34
284,200284,3,1,73
285,200285,3,0,43
286,200286,3,1,71
287,200287,4,0,29
288,200288,3,1,46
289,200289,4,0,52
290,200290,5,0,67
291,200291,1,0,32
292,200292,2,0,73
293,200293,3,1,34
294,200294,1,1,57
295,200295,5,1,40
296,200296,3,0,46
297,200297,4,1,26
298,200298,3,0,36
299,200299,5,1,41
300,200300,3,1,58
301,200301,2,0,30
302,200302,4,0,38
303,200303,3,1,35
304,200304,3,0,31
305,200305,2,1,17
306,200306,3,0,59
307,200307,3,0,19
308,200308,3,0,16
309,200309,3,1,42
310,200310,2,0,25
311,200311,2,1,36
312,200312,3,0,35
313,200313,3,1,25
314,200314,4,0,57
315,200315,2,1,74
316,200316,4,0,75
317,200317,3,1,62
318,200318,3,0,59
319,200319,4,1,62
320,200320,5,1,53
321,200321,3,1,65
322,200322,2,0,43
323,200323,3,0,33
324,200324,4,0,61
325,200325,3,0,72
326,200326,3,0,30
327,200327,3,1,70
328,200328,4,0,48
329,200329,1,1,75
330,200330,2,0,24
331,200331,3,0,46
332,200332,3,0,60
333,200333,4,1,37
334,200334,2,1,51
335,200335,2,1,68
336,200336,3,0,74
337,200337,4,1,51
338,200338,2,1,56
339,200339,4,1,26
340,200340,1,0,71
341,200341,1,1,40
342,200342,3,1,56
343,200343,3,0,75
344,200344,2,1,34
345,200345,5,0,48
346,200346,3,1,75
347,200347,1,1,26
348,200348,2,1,67
349,200349,4,0,35
350,200350,2,1,32
351,200351,2,1,74
352,200352,5,0,49
353,200353,2,0,50
354,200354,1,1,41
355,200355,4,0,60
356,200356,4,1,22
357,200357,3,0,74
358,200358,3,0,36
359,200359,2,0,42
360,200360,5,0,43
361,200361,3,1,65
362,200362,5,1,18
363,200363,3,1,64
364,200364,1,0,30
365,200365,1,1,62
366,200366,3,1,66
367,200367,2,1,60
368,200368,1,1,68
369,200369,4,1,54
370,200370,2,1,16
371,200371,4,0,64
372,200372,5,1,35
373,200373,4,0,26
374,200374,4,0,69
375,200375,4,0,29
376,200376,1,1,58
377,200377,3,1,22
378,200378,2,1,51
379,200379,4,0,22
380,200380,4,1,28
381,200381,3,1,38
382,200382,4,0,37
383,200383,4,0,51
384,200384,3,1,35
385,200385,2,0,73
386,200386,2,1,50
387,200387,3,0,43
388,200388,2,1,16
389,200389,4,1,49
390,200390,5,0,20
391,200391,2,0,70
392,200392,3,1,72
393,200393,1,0,37
394,200394,4,0,53
395,200395,5,1,67
396,200396,3,0,24
397,200397,4,0,22
398,200398,4,0,46
399,200399,4,1,60
400,200400,2,1,47
401,200401,3,1,69
402,200402,2,0,24
403,200403,5,0,43
404,200404,2,1,46
405,200405,1,0,25
406,200406,5,0,49
407,200407,5,0,63
408,200408,4,1,58
409,200409,3,1,32
410,200410,1,1,68
411,200411,3,0,29
412,200412,1,0,62
413,200413,1,0,63
414,200414,2,0,67
415,200415,3,1,44
416,200416,1,0,44
417,200417,5,1,23
418,200418,2,1,70
419,200419,3,0,16
420,200420,2,0,18
421,200421,4,0,35
422,200422,5,0,32
423,200423,5,0,30
424,200424,2,1,19
425,200425,4,0,69
426,200426,2,1,49
427,200427,3,1,57
428,200428,2,1,73
429,200429,4,1,42
430,200430,2,1,64
431,200431,5,0,50
432,200432,3,1,72
433,200433,3,0,46
434,200434,3,1,70
435,200435,3,1,31
436,200436,2,1,50
437,200437,3,0,33
438,200438,4,1,46
439,200439,1,0,69
440,200440,1,1,30
441,200441,3,1,29
442,200442,1,0,69
443,200443,4,0,27
444,200444,2,1,49
445,200445,3,0,61
446,200446,1,1,56
447,200447,4,1,44
448,200448,3,0,27
449,200449,5,1,61
450,200450,2,0,18
451,200451,2,1,71
452,200452,5,1,70
453,200453,4,0,26
454,200454,2,0,22
455,200455,5,1,62
456,200456,4,1,41
457,200457,2,0,56
458,200458,2,0,25
459,200459,2,0,23
460,200460,3,0,28
461,200461,4,0,75
462,200462,2,0,46
463,200463,4,0,62
464,200464,5,1,39
465,200465,1,1,29
466,200466,4,0,70
467,200467,4,1,23
468,200468,2,0,37
469,200469,3,0,73
470,200470,5,0,64
471,200471,5,0,45
472,200472,3,1,43
473,200473,1,0,50
474,200474,4,0,25
475,200475,5,0,44
476,200476,4,1,36
477,200477,2,1,54
478,200478,3,1,41
479,200479,2,1,51
480,200480,5,0,53
481,200481,3,1,34
482,200482,4,0,61
483,200483,4,0,24
484,200484,4,1,31
485,200485,3,0,55
486,200486,4,1,20
487,200487,2,0,58
488,200488,5,0,18
489,200489,2,1,66
490,200490,3,1,27
491,200491,3,0,29
492,200492,4,0,41
493,200493,5,0,53
494,200494,1,0,36
495,200495,5,0,66
496,200496,5,0,63
497,200497,5,0,75
498,200498,2,0,20
499,200499,2,0,54
500,200500,3,0,33
501,200501,4,1,54
502,200502,5,1,52
503,200503,4,1,37
504,200504,2,0,59
505,200505,1,0,36
506,200506,1,1,72
507,200507,2,1,70
508,200508,2,0,19
509,200509,2,1,69
510,200510,4,1,67
511,200511,2,0,27
512,200512,3,0,31
513,200513,1,1,52
514,200514,3,1,30
515,200515,4,0,38
516,200516,3,1,64
517,200517,3,0,52
518,200518,2,1,51
519,200519,5,0,47
520,200520,2,1,34
521,200521,2,1,30
522,200522,2,1,52
523,200523,4,0,56
524,200524,2,0,20
525,200525,3,0,46
526,200526,3,0,36
527,200527,3,0,44
528,200528,5,0,35
529,200529,1,1,49
530,200530,5,0,53
531,200531,5,0,61
532,200532,4,1,51
533,200533,3,1,55
534,200534,2,0,28
535,200535,3,0,29
536,200536,3,0,62
537,200537,2,1,52
538,200538,3,1,33
539,200539,3,0,19
540,200540,1,0,22
541,200541,2,0,27
542,200542,2,1,32
543,200543,5,0,24
544,200544,4,1,50
545,200545,4,1,41
546,200546,2,0,23
547,200547,2,1,75
548,200548,3,0,48
549,200549,3,1,32
550,200550,3,1,61
551,200551,5,1,26
552,200552,1,0,32
553,200553,4,0,48
554,200554,3,1,47
555,200555,4,1,16
556,200556,4,1,72
557,200557,5,1,19
558,200558,2,0,60
559,200559,5,0,31
560,200560,2,0,51
561,200561,5,0,53
562,200562,3,1,41
563,200563,2,0,28
564,200564,5,0,29
565,200565,3,0,73
566,200566,3,0,59
567,200567,4,1,51
568,200568,4,1,70
569,200569,2,0,50
570,200570,3,1,17
571,200571,3,0,24
572,200572,3,0,40
573,200573,2,0,48
574,200574,5,1,33
575,200575,5,1,38
576,200576,5,0,24
577,200577,3,1,54
578,200578,3,0,42
579,200579,2,1,54
580,200580,2,0,70
581,200581,2,1,35
582,200582,2,0,30
583,200583,3,1,53
584,200584,3,1,74
585,200585,5,0,36
586,200586,5,0,28
587,200587,4,1,72
588,200588,4,1,42
589,200589,4,1,75
590,200590,4,0,52
591,200591,4,1,54
592,200592,4,0,60
593,200593,2,1,66
594,200594,2,0,60
595,200595,3,0,25
596,200596,3,1,32
597,200597,3,0,25
598,200598,2,1,68
599,200599,4,0,21
600,200600,5,1,72
601,200601,2,1,20
602,200602,1,1,21
603,200603,3,0,28
604,200604,2,1,18
605,200605,1,1,34
606,200606,2,1,64
607,200607,5,0,47
608,200608,5,1,40
609,200609,2,1,30
610,200610,4,0,59
611,200611,5,1,64
612,200612,2,0,42
613,200613,3,0,29
614,200614,5,1,67
615,200615,2,1,50
616,200616,4,1,54
617,200617,4,0,73
618,200618,4,0,47
619,200619,3,0,31
620,200620,2,1,60
621,200621,3,1,50
622,200622,3,0,75
623,200623,3,0,50
624,200624,3,1,55
625,200625,1,1,41
626,200626,5,0,72
627,200627,3,0,61
628,200628,4,1,33
629,200629,3,1,63
630,200630,3,1,54
631,200631,4,1,72
632,200632,4,0,71
633,200633,4,0,31
634,200634,2,0,20
635,200635,5,0,42
636,200636,2,1,56
637,200637,2,1,16
638,200638,4,0,53
639,200639,4,1,66
640,200640,1,1,43
641,200641,4,1,44
642,200642,5,0,19
643,200643,3,0,65
644,200644,3,0,23
645,200645,2,0,37
646,200646,1,0,16
647,200647,1,0,25
648,200648,5,0,47
649,200649,4,0,16
650,200650,3,0,48
651,200651,1,0,24
652,200652,4,1,43
653,200653,5,0,59
654,200654,2,0,38
655,200655,3,1,68
656,200656,3,1,40
657,200657,3,0,46
658,200658,2,0,70
659,200659,3,0,39
660,200660,2,1,67
661,200661,3,0,75
662,200662,2,1,65
663,200663,3,1,61
664,200664,4,0,75
665,200665,2,1,57
666,200666,2,0,24
667,200667,2,0,51
668,200668,2,0,54
669,200669,4,1,71
670,200670,2,0,19
671,200671,3,1,67
672,200672,5,0,31
673,200673,3,0,36
674,200674,5,0,35
675,200675,4,1,18
676,200676,5,1,44
677,200677,5,0,59
678,200678,2,1,31
679,200679,2,0,44
680,200680,2,0,44
681,200681,2,0,38
682,200682,5,0,37
683,200683,5,0,39
684,200684,5,0,46
685,200685,3,0,43
686,200686,2,1,66
687,200687,4,0,40
688,200688,4,1,23
689,200689,4,1,55
690,200690,4,1,67
691,200691,1,1,62
692,200692,4,1,59
693,200693,3,0,49
694,200694,4,0,54
695,200695,4,1,60
696,200696,1,1,48
697,200697,2,0,20
698,200698,5,0,40
699,200699,2,1,73
700,200700,3,1,41
701,200701,3,0,73
702,200702,3,1,46
703,200703,3,0,27
704,200704,2,1,40
705,200705,4,1,41
706,200706,2,0,34
707,200707,5,0,37
708,200708,2,0,20
709,200709,2,1,34
710,200710,5,1,73
711,200711,1,1,53
712,200712,3,0,69
713,200713,1,1,44
714,200714,1,0,42
715,200715,4,0,34
716,200716,2,1,29
717,200717,3,1,18
718,200718,4,1,28
719,200719,3,0,22
720,200720,2,1,44
721,200721,4,0,64
722,200722,2,1,24
723,200723,5,0,19
724,200724,2,0,59
725,200725,2,1,60
726,200726,5,1,31
727,200727,2,0,33
728,200728,5,1,74
729,200729,1,0,74
730,200730,5,0,27
731,200731,4,1,54
732,200732,5,0,41
733,200733,4,1,33
734,200734,1,0,36
735,200735,4,0,50
736,200736,3,0,16
737,200737,5,0,44
738,200738,5,1,18
739,200739,2,0,71
740,200740,5,1,22
741,200741,3,1,68
742,200742,2,1,56
743,200743,3,1,39
744,200744,2,0,54
745,200745,5,0,36
746,200746,4,1,16
747,200747,4,1,33
748,200748,2,0,21
749,200749,4,0,25
750,200750,3,1,37
751,200751,4,1,48
752,200752,3,1,40
753,200753,5,1,66
754,200754,2,1,37
755,200755,4,1,28
756,200756,3,1,68
757,200757,2,1,28
758,200758,3,0,67
759,200759,3,0,45
760,200760,3,1,32
761,200761,3,1,51
762,200762,2,1,55
763,200763,4,1,45
764,200764,5,0,55
765,200765,2,0,41
766,200766,1,0,43
767,200767,3,1,56
768,200768,4,0,56
769,200769,2,0,49
770,200770,5,0,66
771,200771,5,0,21
772,200772,3,0,30
773,200773,2,1,27
774,200774,3,1,50
775,200775,2,1,21
776,200776,3,0,67
777,200777,3,1,62
778,200778,3,0,69
779,200779,3,1,21
780,200780,5,1,74
781,200781,5,1,41
782,200782,4,1,67
783,200783,2,1,49
784,200784,2,1,50
785,200785,3,0,21
786,200786,2,1,39
787,200787,2,0,33
788,200788,3,1,51
789,200789,2,1,67
790,200790,2,0,25
791,200791,2,0,55
792,200792,2,1,16
793,200793,4,1,36
794,200794,5,0,36
795,200795,3,1,18
796,200796,3,0,23
797,200797,5,1,36
798,200798,2,0,64
799,200799,3,0,41
800,200800,5,1,54
801,200801,3,0,48
802,200802,2,0,63
803,200803,3,1,51
804,200804,1,1,27
805,200805,2,0,44
806,200806,5,0,17
807,200807,2,0,26
808,200808,5,1,28
809,200809,3,0,30
810,200810,3,1,38
811,200811,3,1,54
812,200812,5,0,27
813,200813,3,0,20
814,200814,1,0,30
815,200815,4,0,23
816,200816,4,1,44
817,200817,1,1,31
818,200818,3,0,46
819,200819,2,1,54
820,200820,5,1,16
821,200821,4,1,45
822,200822,4,0,62
823,200823,1,1,19
824,200824,2,0,31
825,200825,1,0,20
826,200826,2,0,32
827,200827,4,1,52
828,200828,2,0,24
829,200829,3,1,64
830,200830,2,1,24
831,200831,1,1,45
832,200832,3,0,45
833,200833,5,0,42
834,200834,3,1,35
835,200835,4,0,68
836,200836,4,0,39
837,200837,5,0,23
838,200838,3,1,62
839,200839,3,1,22
840,200840,1,0,31
841,200841,4,0,56
842,200842,1,0,45
843,200843,3,0,18
844,200844,3,1,46
845,200845,5,1,55
846,200846,2,0,73
847,200847,3,0,36
848,200848,3,0,70
849,200849,5,0,26
850,200850,1,0,19
851,200851,1,1,23
852,200852,2,1,37
853,200853,4,0,43
854,200854,2,0,16
855,200855,3,1,46
856,200856,3,1,25
857,200857,5,0,66
858,200858,2,0,73
859,200859,5,0,59
860,200860,3,0,68
861,200861,2,1,45
862,200862,5,1,35
863,200863,3,0,66
864,200864,3,0,61
865,200865,5,1,18
866,200866,1,0,53
867,200867,2,0,16
868,200868,5,1,68
869,200869,5,1,28
870,200870,4,1,34
871,200871,3,1,72
872,200872,3,0,32
873,200873,5,0,54
874,200874,2,0,34
875,200875,4,0,65
876,200876,5,1,44
877,200877,5,0,56
878,200878,4,0,34
879,200879,1,0,31
880,200880,1,0,69
881,200881,4,0,26
882,200882,2,1,54
883,200883,3,0,74
884,200884,4,0,69
885,200885,5,1,61
886,200886,5,0,16
887,200887,3,0,52
888,200888,3,0,31
889,200889,3,0,36
890,200890,4,1,27
891,200891,2,0,66
892,200892,1,0,19
893,200893,3,1,53
894,200894,3,0,23
895,200895,1,1,35
896,200896,5,0,17
897,200897,5,1,23
898,200898,1,0,20
899,200899,2,0,74
900,200900,5,1,49
901,200901,3,0,44
902,200902,2,0,43
903,200903,4,1,26
904,200904,2,0,43
905,200905,1,0,35
906,200906,3,1,23
907,200907,5,0,48
908,200908,1,1,16
909,200909,4,0,43
910,200910,3,1,71
911,200911,4,0,69
912,200912,3,0,36
913,200913,5,0,46
914,200914,4,1,68
915,200915,2,0,25
916,200916,3,0,30
917,200917,3,1,72
918,200918,3,1,30
919,200919,2,1,47
920,200920,5,0,53
921,200921,3,1,37
922,200922,2,0,57
923,200923,1,0,69
924,200924,4,1,50
925,200925,3,1,34
926,200926,5,1,48
927,200927,2,1,40
928,200928,5,0,53
929,200929,3,0,66
930,200930,1,1,41
931,200931,3,1,32
932,200932,4,0,30
933,200933,2,0,72
934,200934,4,0,37
935,200935,3,0,30
936,200936,4,0,68
937,200937,5,1,61
938,200938,5,1,69
939,200939,5,0,25
940,200940,4,0,66
941,200941,4,0,47
942,200942,1,0,35
943,200943,2,1,20
944,200944,3,1,33
945,200945,5,0,43
946,200946,2,0,74
947,200947,5,0,65
948,200948,3,1,42
949,200949,4,0,43
950,200950,2,1,39
951,200951,5,1,36
952,200952,3,0,36
953,200953,1,0,18
954,200954,2,0,38
955,200955,3,1,25
956,200956,3,1,65
957,200957,2,0,51
958,200958,2,0,62
959,200959,3,0,68
960,200960,1,1,69
961,200961,1,0,50
962,200962,2,0,32
963,200963,2,1,46
964,200964,4,0,41
965,200965,3,1,64
966,200966,5,1,65
967,200967,2,1,32
968,200968,1,0,34
969,200969,3,0,53
970,200970,3,0,52
971,200971,3,0,18
972,200972,2,1,70
973,200973,1,0,71
974,200974,3,1,16
975,200975,4,1,69
976,200976,1,1,29
977,200977,5,0,38
978,200978,3,1,55
979,200979,2,0,28
980,200980,2,0,67
981,200981,2,0,61
982,200982,1,0,71
983,200983,3,0,27
984,200984,1,0,33
985,200985,4,1,25
986,200986,2,1,73
987,200987,3,1,22
988,200988,4,1,24
989,200989,4,1,52
990,200990,5,0,53
991,200991,2,0,16
992,200992,3,0,56
993,200993,4,1,44
994,200994,4,0,60
995,200995,3,0,57
996,200996,3,0,50
997,200997,4,0,56
998,200998,4,1,67
999,200999,3,0,50
1000,201000,3,0,25
1001,201001,4,0,55
1002,201002,3,1,65
1003,201003,3,0,40
1004,201004,5,0,27
1005,201005,2,0,34
1006,201006,4,0,58
1007,201007,5,0,68
1008,201008,1,1,69
1009,201009,2,1,58
1010,201010,3,0,28
1011,201011,4,0,74
1012,201012,3,1,16
1013,201013,5,1,70
1014,201014,5,1,26
1015,201015,2,0,67
1016,201016,2,1,33
1017,201017,3,1,75
1018,201018,5,0,27
1019,201019,2,0,36
1020,201020,3,0,31
1021,201021,3,1,61
1022,201022,4,1,24
1023,201023,4,0,35
1024,201024,2,1,37
1025,201025,5,1,71
1026,201026,1,1,33
1027,201027,3,1,44
1028,201028,3,1,40
1029,201029,5,0,34
1030,201030,2,1,21
1031,201031,3,1,67
1032,201032,4,0,63
1033,201033,1,1,17
1034,201034,3,1,16
1035,201035,1,0,52
1036,201036,5,0,42
1037,201037,3,0,37
1038,201038,5,1,68
1039,201039,3,1,35
1040,201040,4,1,69
1041,201041,1,1,23
1042,201042,3,0,16
1043,201043,5,0,66
1044,201044,2,1,54
1045,201045,4,0,19
1046,201046,3,1,17
1047,201047,5,1,49
1048,201048,5,1,57
1049,201049,1,0,55
1050,201050,4,1,61
1051,201051,3,0,74
1052,201052,5,0,30
1053,201053,5,0,66
1054,201054,3,0,51
1055,201055,2,1,28
1056,201056,1,1,47
1057,201057,5,0,65
1058,201058,1,0,34
1059,201059,4,0,28
1060,201060,5,0,29
1061,201061,2,1,24
1062,201062,1,1,17
1063,201063,5,0,45
1064,201064,4,0,40
1065,201065,3,1,34
1066,201066,2,0,41
1067,201067,5,0,32
1068,201068,2,1,34
1069,201069,3,1,62
1070,201070,2,0,67
1071,201071,4,0,36
1072,201072,3,1,34
1073,201073,1,0,41
1074,201074,4,0,40
1075,201075,2,1,73
1076,201076,3,0,73
1077,201077,4,0,46
1078,201078,2,1,71
1079,201079,1,0,64
1080,201080,2,1,67
1081,201081,5,0,38
1082,201082,5,1,63
1083,201083,1,1,32
1084,201084,4,0,71
1085,201085,2,0,66
1086,201086,3,1,39
1087,201087,2,1,51
1088,201088,3,1,41
1089,201089,4,0,65
1090,201090,3,1,38
1091,201091,5,1,35
1092,201092,5,1,37
1093,201093,3,0,27
1094,201094,2,1,54
1095,201095,3,1,48
1096,201096,1,0,75
1097,201097,4,1,25
1098,201098,5,1,28
1099,201099,2,0,46
1100,201100,4,0,75
1101,201101,4,0,25
1102,201102,5,1,49
1103,201103,5,1,70
1104,201104,1,0,47
1105,201105,5,1,57
1106,201106,4,1,51
1107,201107,3,0,58
1108,201108,3,1,73
1109,201109,1,1,25
1110,201110,4,0,65
1111,201111,3,1,47
1112,201112,4,0,54
1113,201113,5,1,53
1114,201114,4,1,39
1115,201115,1,0,75
1116,201116,3,0,31
1117,201117,3,0,53
1118,201118,3,1,56
1119,201119,2,1,58
1120,201120,3,1,53
1121,201121,2,1,59
1122,201122,3,0,62
1123,201123,3,1,24
1124,201124,2,1,74
1125,201125,1,1,56
1126,201126,4,1,71
1127,201127,3,0,70
1128,201128,3,0,52
1129,201129,5,1,32
1130,201130,3,0,28
1131,201131,4,1,22
1132,201132,2,1,28
1133,201133,1,1,39
1134,201134,5,1,58
1135,201135,1,0,71
1136,201136,3,0,75
1137,201137,2,1,33
1138,201138,3,1,53
1139,201139,2,0,72
1140,201140,3,1,66
1141,201141,5,0,28
1142,201142,5,0,32
1143,201143,3,0,44
1144,201144,5,0,68
1145,201145,3,1,19
1146,201146,5,0,60
1147,201147,4,0,58
1148,201148,2,1,57
1149,201149,1,1,35
1150,201150,3,0,50
1151,201151,5,0,35
1152,201152,4,0,29
1153,201153,3,0,46
1154,201154,4,1,56
1155,201155,2,0,49
1156,201156,5,1,60
1157,201157,4,0,27
1158,201158,1,1,63
1159,201159,2,1,66
1160,201160,3,0,57
1161,201161,5,1,72
1162,201162,3,1,65
1163,201163,3,0,29
1164,201164,4,0,23
1165,201165,5,1,70
1166,201166,2,1,44
1167,201167,3,0,21
1168,201168,5,0,16
1169,201169,2,0,46
1170,201170,3,1,60
1171,201171,1,1,19
1172,201172,5,1,63
1173,201173,1,1,63
1174,201174,3,1,50
1175,201175,5,1,40
1176,201176,3,1,26
1177,201177,4,0,19
1178,201178,5,1,17
1179,201179,2,1,23
1180,201180,4,1,57
1181,201181,4,0,73
1182,201182,3,0,28
1183,201183,3,0,39
1184,201184,4,1,31
1185,201185,3,1,51
1186,201186,5,1,44
1187,201187,5,0,75
1188,201188,4,1,30
1189,201189,3,0,35
1190,201190,3,1,42
1191,201191,4,0,44
1192,201192,5,1,17
1193,201193,5,1,45
1194,201194,2,0,38
1195,201195,4,0,45
1196,201196,3,0,63
1197,201197,2,1,22
1198,201198,5,1,42
1199,201199,4,1,37
1200,201200,5,0,25
1201,201201,5,0,33
1202,201202,2,1,20
1203,201203,1,0,50
1204,201204,1,1,43
1205,201205,2,1,63
1206,201206,2,1,18
1207,201207,5,1,34
1208,201208,5,0,44
1209,201209,3,1,63
1210,201210,3,1,20
1211,201211,3,1,66
1212,201212,3,0,50
1213,201213,3,0,65
1214,201214,3,1,59
1215,201215,2,1,62
1216,201216,4,0,45
1217,201217,3,0,35
1218,201218,4,0,50
1219,201219,1,1,59
1220,201220,3,0,60
1221,201221,5,0,45
1222,201222,3,0,72
1223,201223,3,1,23
1224,201224,4,0,42
1225,201225,4,0,48
1226,201226,3,1,68
1227,201227,3,0,71
1228,201228,4,1,43
1229,201229,2,0,74
1230,201230,4,1,59
1231,201231,2,0,51
1232,201232,5,1,21
1233,201233,1,0,69
1234,201234,5,1,62
1235,201235,4,1,61
1236,201236,1,0,21
1237,201237,5,0,51
1238,201238,2,1,37
1239,201239,4,0,22
1240,201240,2,1,68
1241,201241,5,1,26
1242,201242,4,1,67
1243,201243,2,1,68
1244,201244,3,0,19
1245,201245,5,1,56
1246,201246,5,1,22
